Ticker,MarketCap,Pointer
AAPL,3468967456000,0
MSFT,3113403134400,1
NVDA,3269726350000,2
GOOG,1994196115270,3
AMZN,1933499432000,4
META,1490010981121,5
LLY,871540642000,6
TSLA,783549352800,7
WMT,643743251250,8
JPM,605393144800,9
V,546486468568,10
UNH,541039840380,11
XOM,540647982700,12
MA,456641250430,13
PG,396983504500,14
JNJ,385615775600,15
ORCL,487219655100,16
COST,399635469050,17
HD,409070339423,18
ABBV,340311896100,19
KO,299535965000,20
BAC,310809976900,21
MRK,276471726700,22
NFLX,309735590472,23
CVX,272472501600,24
ADBE,217186052080,25
PEP,235539783600,26
TMO,228015666176,27
CRM,275294540000,28
LIN,223762680830,29
