Ticker,MarketCap,Pointer
AAPL,3.47E+12,0
ABBV,3.40E+11,19
ADBE,2.17E+11,25
AMZN,1.93E+12,4
BAC,3.11E+11,21
COST,4.00E+11,17
CRM,2.75E+11,28
CVX,2.72E+11,24
GOOG,1.99E+12,3
HD,4.09E+11,18
JNJ,3.86E+11,15
JPM,6.05E+11,9
KO,3.00E+11,20
LIN,2.24E+11,29
LLY,8.72E+11,6
MA,4.57E+11,13
META,1.49E+12,5
MRK,2.76E+11,22
MSFT,3.11E+12,1
NFLX,3.10E+11,23
NVDA,3.27E+12,2
ORCL,4.87E+11,16
PEP,2.36E+11,26
PG,3.97E+11,14
TMO,2.28E+11,27
TSLA,7.84E+11,7
UNH,5.41E+11,11
V,5.46E+11,10
WMT,6.44E+11,8
XOM,5.41E+11,12
