ticker,market_cap,pointer
AAPL,3518380781000,0
ABBV,331806969000,19
ADBE,212933544000,25
AMZN,1971388548000,4
BAC,322082575300,21
COST,394876410280,17
CRM,277679760000,28
CVX,275819425200,24
GOOG,2044113402133,3
HD,396234510630,18
JNJ,387276771200,15
JPM,632507519600,9
KO,288416500400,20
LIN,226221821280,29
LLY,848445290200,6
MA,465102492960,13
META,1450217439326,5
MRK,263569543800,22
MSFT,3182456076000,1
NFLX,322594003440,23
NVDA,3471976200000,2
ORCL,480834331200,16
PEP,235694162100,26
PG,396164828800,14
TMO,211770942480,27
TSLA,859965141600,7
UNH,521324866080,11
V,556672270658,10
WMT,663236007500,8
XOM,530873756700,12
