ticker,market_cap,pointer
TMO,211770942480,27
ADBE,212933544000,25
LIN,226221821280,29
PEP,235694162100,26
MRK,263569543800,22
CVX,275819425200,24
CRM,277679760000,28
KO,288416500400,20
BAC,322082575300,21
NFLX,322594003440,23
ABBV,331806969000,19
JNJ,387276771200,15
COST,394876410280,17
PG,396164828800,14
HD,396234510630,18
MA,465102492960,13
ORCL,480834331200,16
UNH,521324866080,11
XOM,530873756700,12
V,556672270658,10
JPM,632507519600,9
WMT,663236007500,8
LLY,848445290200,6
TSLA,859965141600,7
META,1450217439326,5
AMZN,1971388548000,4
GOOG,2044113402133,3
MSFT,3182456076000,1
NVDA,3471976200000,2
AAPL,3518380781000,0
