ticker,market_cap,pointer
AAPL,3518380781000,0
MSFT,3182456076000,1
NVDA,3471976200000,2
GOOG,2044113402133,3
AMZN,1971388548000,4
META,1450217439326,5
LLY,848445290200,6
TSLA,859965141600,7
WMT,663236007500,8
JPM,632507519600,9
V,556672270658,10
UNH,521324866080,11
XOM,530873756700,12
MA,465102492960,13
PG,396164828800,14
JNJ,387276771200,15
ORCL,480834331200,16
COST,394876410280,17
HD,396234510630,18
ABBV,331806969000,19
KO,288416500400,20
BAC,322082575300,21
MRK,263569543800,22
NFLX,322594003440,23
CVX,275819425200,24
ADBE,212933544000,25
PEP,235694162100,26
TMO,211770942480,27
CRM,277679760000,28
LIN,226221821280,29
